final_M,final_Xi,regime,blowup_step,transition_step,mu,alpha,a,m0,variant,steps
1000000000.0,1000000000.0,explosive,97,8,0.01,0.001,2.0,10.0,baseline,120
1000000000.0,1000000000.0,explosive,27,5,0.01,0.001,2.0,10.0,two_scale,120
793614283.6436554,1000000000.0,exponential,97,8,0.01,0.001,2.0,10.0,logistic,120
3.708113280926351,0.08362355481045179,plateau,,,0.01,0.001,3.0,10.0,baseline,120
1000000000.0,1000000000.0,explosive,82,17,0.01,0.001,3.0,10.0,two_scale,120
3.7080743651908588,0.08361899096800286,plateau,,,0.01,0.001,3.0,10.0,logistic,120
3.3911509764988264,0.04660490227471332,plateau,,,0.01,0.001,4.0,10.0,baseline,120
15.649446751185312,1.0292265577163853,exponential,,34,0.01,0.001,4.0,10.0,two_scale,120
3.3911334536613653,0.04660277150704326,plateau,,,0.01,0.001,4.0,10.0,logistic,120
3.203777167185219,0.024475223090681734,plateau,,,0.01,0.001,6.0,10.0,baseline,120
11.814962444036118,0.7577758056301362,exponential,,75,0.01,0.001,6.0,10.0,two_scale,120
3.2037690295474897,0.024474216556882814,plateau,,,0.01,0.001,6.0,10.0,logistic,120
3.136201686199158,0.016521294150329394,plateau,,,0.01,0.001,8.0,10.0,baseline,120
11.093569282486543,0.7019879157079081,plateau,,,0.01,0.001,8.0,10.0,two_scale,120
3.1361964235629722,0.016520640276779654,plateau,,,0.01,0.001,8.0,10.0,logistic,120
3.0803084161607965,0.009983596507691445,plateau,,,0.01,0.001,12.0,10.0,baseline,120
10.607536554174697,0.6635192338847392,plateau,,,0.01,0.001,12.0,10.0,two_scale,120
3.0803053438105534,0.009983213739409871,plateau,,,0.01,0.001,12.0,10.0,logistic,120
3.0558894099783487,0.007145275431990759,plateau,,,0.01,0.001,16.0,10.0,baseline,120
10.419893679408222,0.648485638971136,plateau,,,0.01,0.001,16.0,10.0,two_scale,120
3.055887243216382,0.007145005267914722,plateau,,,0.01,0.001,16.0,10.0,logistic,120
3.0334710869656742,0.0045520182036216696,plateau,,,0.01,0.001,24.0,10.0,baseline,120
10.259230923569305,0.6355374665996083,plateau,,,0.01,0.001,24.0,10.0,two_scale,120
3.033469724817537,0.004551848277845364,plateau,,,0.01,0.001,24.0,10.0,logistic,120
3.022943570689179,0.0033390112828484845,plateau,,,0.01,0.001,32.0,10.0,baseline,120
10.18739870089865,0.6297265839895113,plateau,,,0.01,0.001,32.0,10.0,two_scale,120
3.022942577658316,0.003338887385455466,plateau,,,0.01,0.001,32.0,10.0,logistic,120
