a,gamma,rows_total,rows_with_blowup,mean_blowup_step,min_blowup_step,max_blowup_step
2,0,300,208,6.0048076923076925,2,58
2,0.05,300,209,6.229665071770335,2,60
2,0.2,300,209,6.110047846889952,2,59
4,0,300,149,10.221476510067115,2,117
4,0.05,300,149,10.100671140939598,2,115
4,0.2,300,150,9.966666666666667,2,110
8,0,300,73,21.136986301369863,3,126
8,0.05,300,73,20.726027397260275,3,120
8,0.2,300,78,24,3,158
16,0,300,30,47.333333333333336,10,155
16,0.05,300,30,44.8,10,145
16,0.2,300,32,42.5625,9,148
