alpha,mu,a,gamma,m0,steps_short,steps_long,regime_short,regime_long,final_M_short,final_M_long,final_Xi_short,final_Xi_long,under_resolved_short,under_resolved_long
0.00046415888,0.0016681005,2,0.05,10,60,600,precursor-active,explosive,17.111051,1e+09,0.4173977,1e+09,False,False
0.00046415888,0.0027825594,2,0.05,10,60,600,precursor-active,explosive,12.876739,1e+09,0.23780559,1e+09,False,False
0.00046415888,0.0016681005,2,0.2,10,60,600,precursor-active,explosive,18.276792,1e+09,0.47618063,1e+09,False,False
0.00046415888,0.0027825594,2,0.2,10,60,600,precursor-active,explosive,13.049145,1e+09,0.24671846,1e+09,False,False
0.001,0.001,4,0.05,10,160,640,precursor-active,explosive,14.779425,1e+09,0.34101977,1e+09,False,False
0.00021544347,0.001,4,0.05,20,60,600,precursor-active,explosive,26.461743,1e+09,0.39343436,1e+09,False,False
0.001,0.001,4,0.2,10,160,640,precursor-active,explosive,15.117286,1e+09,0.3585966,1e+09,False,False
0.00021544347,0.001,4,0.2,20,60,600,precursor-active,explosive,26.917153,1e+09,0.41651974,1e+09,False,False
0.0046415888,0.001,8,0.05,10,160,640,precursor-active,explosive,39.770033,1e+09,1.630738,1e+09,False,False
0.0046415888,0.0016681005,8,0.05,10,160,640,precursor-active,explosive,20.580837,1e+09,0.72003198,1e+09,False,False
0.001,0.001,8,0.05,20,160,640,precursor-active,explosive,135.54698,1e+09,6.0233838,1e+09,False,False
0.001,0.0016681005,8,0.05,20,160,640,precursor-active,explosive,30.069048,1e+09,0.83452954,1e+09,False,False
4.6415888e-05,0.001,8,0.05,50,60,600,precursor-active,explosive,59.769042,1e+09,0.65550349,1e+09,False,False
0.0001,0.0046415888,8,0.05,50,60,600,precursor-active,explosive,67.132796,1e+09,1.62151,1e+09,False,False
0.0046415888,0.0016681005,8,0.2,10,160,640,precursor-active,explosive,22.951637,1e+09,0.84328996,1e+09,False,False
0.01,0.0077426368,8,0.2,10,160,640,precursor-active,explosive,15.878829,1e+09,1.0156463,1e+09,False,False
0.001,0.0016681005,8,0.2,20,160,640,precursor-active,explosive,32.918459,1e+09,0.98404844,1e+09,False,False
4.6415888e-05,0.001,8,0.2,50,60,600,precursor-active,explosive,60.951618,1e+09,0.71555527,1e+09,False,False
0.01,0.001,16,0.05,10,160,640,precursor-active,explosive,18.734196,1e+09,0.55464159,1e+09,False,False
0.0046415888,0.0016681005,16,0.05,20,160,640,precursor-active,explosive,132.2605,1e+09,6.0682615,1e+09,False,False
0.0046415888,0.0027825594,16,0.05,20,160,640,precursor-active,explosive,32.191927,1e+09,1.1728886,1e+09,False,False
0.01,0.001,16,0.2,10,160,640,precursor-active,explosive,19.603876,1e+09,0.59984527,1e+09,False,False
0.01,0.0016681005,16,0.2,10,160,640,precursor-active,explosive,15.831569,1e+09,0.46547692,1e+09,False,False
0.0046415888,0.0027825594,16,0.2,20,160,640,precursor-active,explosive,38.098148,1e+09,1.4913311,1e+09,False,False
