dataset,model,variant,rmse_log
wikipedia_articles,exponential,,0.704638
wikipedia_articles,logistic_growth,,0.112363
wikipedia_articles,power_law,,0.175020
wikipedia_articles,TAP-baseline,baseline,0.035803
wikipedia_articles,TAP-logistic,logistic,0.538349
wikipedia_articles,TAP-learning,learning,0.035803
npm_packages,exponential,,0.530660
npm_packages,logistic_growth,,0.158253
npm_packages,power_law,,0.075077
npm_packages,TAP-baseline,baseline,0.067362
npm_packages,TAP-logistic,logistic,0.042118
npm_packages,TAP-learning,learning,0.067362
described_species,exponential,,0.393275
described_species,logistic_growth,,0.066093
described_species,power_law,,0.374813
described_species,TAP-baseline,baseline,0.055761
described_species,TAP-logistic,logistic,0.070295
described_species,TAP-learning,learning,0.055761
